Sentences,Figure_OF_Speech
As naked as peeled apple,Simile
As natural as life,Simile
As nearsighted as a mole,Simile
As neat as a nail,Simile
As neat as ninepins,Simile
As needful as the sun,Simile
As nervous as a mouse,Simile
As new as a day,Simile
As nice as nine pence,Simile
As nimble as a lizard,Simile
As nimble as quicksilver,Simile
As noiseless as shadow,Simile
As noisy as menagerie,Simile
As numerous as the sands upon the ocean shore,Simile
As obedient as a puppet,Simile
As obedient as the scabbard,Simile
As obnoxious as an alligator,Simile
As obstinate as a mule,Simile
As obstinate as a pig,Simile
As old as creation,Simile
As old as Methuselah,Simile
As old as Trilobites,Simile
As opaque as the sky,Simile
As open as smile,Simile
As opposite as the poles,Simile
As quarrelsome as the weasel,Simile
As quick as flash,Simile
As quick as thought,Simile
As quiet as a mouse,Simile
As quiet as a lamb,Simile
As ragged as Lazarus,Simile
As rapid as lightning,Simile
As rare as a blue rose,Simile
As rare as a comet,Simile
As ravenous as a winter wolf,Simile
As real as the stars,Simile
As rebellious as the sea,Simile
As red as a cherry,Simile
As red as blood,Simile
As red as a poppy,Simile
As regal as Juno,Simile
As regular as sunrise,Simile
As relentless as fate,Simile
As remote as a dream,Simile
As resistless as the wind,Simile
As restless as ambition,Simile
As restless as the sea,Simile
As rich as Croesus,Simile
As rich as a Creole,Simile
As rosy as bride,Simile
As rosy as morning,Simile
As rotten as dirt,Simile
As rough as hemp,Simile
As rough as a storm,Simile
As round as the O of Grotto,Simile
As rude as a bear,Simile
As rugged as a rhinoceros,Simile
As ruthless as the sea,Simile
As sacred as a shrine,Simile
As sad as night,Simile
As sad as doom,Simile
As safe as tortoise under its shell,Simile
As safe as a sardine,Simile
As salt as a sea sponge,Simile
As salt as brine,Simile
As saucy as the wave,Simile
As scarce as the hen’s teeth,Simile
As scarce as the feathers on a fish,Simile
As secret as thought,Simile
As securer as the grave,Simile
As seedy as a raspberry,Simile
As selfish as a fox,Simile
As senseless as stones,Simile
As sensitive as flowers,Simile
As serious as a doctor,Simile
As serious as an owl,Simile
As shallow as a pan,Simile
As shameful as a sin,Simile
As shameless as a nude statue,Simile
As shapeless as an old shoe,Simile
As sharp as a razor,Simile
As sharp as a thistle,Simile
As short as a dream,Simile
As short as the life of a wave,Simile
As shy as squirrel,Simile
As shy as the fawn,Simile
As sick as a dog,Simile
As silent as thought,Simile
As silent as a stone,Simile
As silly as calves,Simile
As simple as ABC,Simile
As simple as a child,Simile
As sincere as sunlight,Simile
As sleek as mouse,Simile
As sleepless as owls,Simile
As slippery as ice,Simile
As slippery as serpent,Simile
As slow as a snail,Simile
As sly as a fox,Simile
As small as atoms,Simile
As smart as sixpence,Simile
As smart as paint,Simile
As smooth as ice,Simile
As sober as a judge,Simile
As soft as wool,Simile
As soft as velvet,Simile
As soft as fur,Simile
As soft as silk,Simile
As solid as bricks,Simile
As solitary as a tomb,Simile
As soothing as breathe of spring,Simile
As sour as lime,Simile
As spacious as element,Simile
As speechless as a stone,Simile
As spineless as a jelly-fish,Simile
As spiteful as a monkey,Simile
As spotless as snow,Simile
As spotless as lilies,Simile
As spruce as an onion,Simile
As stale as an old beer,Simile
As stately as an oak,Simile
As stately as a queen,Simile
As steadfast as the sun,Simile
As stealthy as a cat,Simile
As stiff as a stone,Simile
As stiff as a ramrod,Simile
As still as a log,Simile
As still as a statue,Simile
As stinking as a polecat,Simile
As stinking as carrion,Simile
As straight as a candle,Simile
As straight as a lance,Simile
As strange as vision,Simile
As strange as Hercules,Simile
As strange as brandy,Simile
As strange as Samson,Simile
As stubborn as a mule,Simile
As stupid as a sloth,Simile
As stupid as a log,Simile
As stupid as a post,Simile
As subtle as a serpent,Simile
As sudden as a snap,Simile
As sudden as lightning,Simile
As sulky as a bear,Simile
As superfluous as fifth wheel,Simile
As superstitious as sailors,Simile
As supple as a snake,Simile
As sure as a gun,Simile
As sure as sunrise,Simile
As sure as death,Simile
As suspicious as a cat,Simile
As sweet as a rose,Simile
As sweet as sugar,Simile
As swift as an arrow,Simile
As swift as lightning,Simile
As swift as a flash,Simile
As swift as a thought,Simile
As talkative as a Magpie,Simile
As tall as a steeple,Simile
As tame as a sheep,Simile
As taut as fiddle string,Simile
As tedious as guilty consciousness,Simile
As tender as a bud,Simile
As tender as a lamb,Simile
As tender as tears,Simile
As terrible as Jove,Simile
As terrible as hell,Simile
As thick as ants,Simile
As thick as thieves,Simile
As thick as hail,Simile
As thin as a wafer,Simile
As thin as a groat,Simile
As thin as a lath,Simile
As thirsty as a sponge,Simile
As thirsty as a Tantalus,Simile
As thoughtless as a lark,Simile
As tidy as a candy shop,Simile
As tight as a drum head,Simile
As tight as teeth,Simile
As timid as mouse,Simile
As timid as a fawn,Simile
As tired as tombstones,Simile
As tough as leather,Simile
As tough as nails,Simile
As trackless as the sea,Simile
As trackless as the desert,Simile
As tranquil as the summer sea,Simile
As transient as lightning,Simile
As transparent as glass,Simile
As treacherous as memory,Simile
As tricky as an ape,Simile
As trivial as parrot’s prate,Simile
As troublesome as a monkey,Simile
As true as gospel,Simile
As true as steel,Simile
As truthful as knight of old,Simile
As tuneless as a bag of wool,Simile
As ugly as scarecrow,Simile
As ugly as a sin,Simile
As ugly as a bear,Simile
As unapproachable as a star,Simile
As unattractive as a gargoyle,Simile
As uncertain as the weather,Simile
As unchangeable as the past,Simile
As unclean as a sin,Simile
As uncomplaining as a lamb,Simile
As uncompromising as justice,Simile
As unconquerable as chewing gum,Simile
As uncontrollable as the wave,Simile
As unfeeling as the rocks,Simile
As unhappy as King Lear,Simile
As universal as seasickness,Simile
As universal as light,Simile
As unmerciful as the billows,Simile
As unprofitable as smoke,Simile
As unreal as a dream,Simile
As unstable as the wind,Simile
As unsteady as the ocean,Simile
As unusual as a sailor on horseback,Simile
As upright as a tower,Simile
As useful as a cow,Simile
As vague as a shadow,Simile
As vague as a futurity,Simile
As vain as a peacock,Simile
As various as the weather,Simile
As variable as the weather,Simile
As vast as eternity,Simile
As venomous as a snake,Simile
As vigilant as the stars,Simile
As vigorous as fire,Simile
As violent as steam,Simile
As virtuous as holy truth,Simile
As voiceless as the tomb,Simile
As voracious as the camel,Simile
As vulgar as money,Simile
As wan as moonlight,Simile
As wan as ashes,Simile
As warlike as the wolf,Simile
As warm as sunbeams,Simile
As warm as wool,Simile
As wary as a fox,Simile
As wasteful as a hen,Simile
As watchful as a sentinel,Simile
As wavering as Hamlet,Simile
As weak as water,Simile
As weak as a reed,Simile
As weather-beaten as fisherman’s oar,Simile
As welcome as dew on parched flower,Simile
As welcome as rainstorm in hell,Simile
As welcome as a star,Simile
As wet as a fish,Simile
As wet as a drowned rat,Simile
As white as a porcelain,Simile
As white as snow,Simile
Ass white as fleece,Simile
As white as ivory,Simile
As white as a lily,Simile
As wide as hope,Simile
As willful as a mule,Simile
As wily as a fox,Simile
As wise as Solomon,Simile
As witless as a jack saw,Simile
As yellow as saffron,Simile
As yellow as jaundice,Simile
As yellow as sulphur,Simile
As young as morning,Simile
As young as dawn,Simile
As youthful as the month of May,Simile
As zigzag as lightning,Simile
As zigzag as road,Simile
pulled both ways like a tightrope-walker,Simile
bouncing tiptoe like a dropped ball,Simile
hovers like an ecstatic bird,Simile
My mistress eyes are nothing like the sun,Simile
like a rich jewel in an Ethiop's ear,Simile
"“Food?”  Chris inquired, popping out of his seat like a toaster strudel.",Simile
Grandpa lounged on the raft in the middle of the pool like an old battleship.,Simile
"If seen from above the factory, the workers would have looked like clock parts.",Simile
The truth was like a bad taste on his tongue.,Simile
The people who still lived in the town were stuck in place like wax statues.,Simile
Cassie talked to her son about girls as though she were giving him tax advice.,Simile
"Alan’s jokes were like flat soda to the children, surprisingly unpleasant.",Simile
"My mother’s kitchen was like a holy place: you couldn’t wear your shoes, you had to sit there at a certain time, and occasionally we’d pray.",Simile
The bottle rolled off the table like a teardrop.,Simile
The handshake felt like warm laundry.,Simile
She hung her head like a dying flower.,Simile
Arguing with her was like dueling with hand grenades.,Simile
The classroom was as quiet as a tongue-tied librarian in a hybrid car.,Simile
Janie’s boyfriend appreciated her as an ape might appreciate an algebra book.,Simile
The clouds were like ice-cream castles in the sky.,Simile
The shingles on the shack shook in the storm winds like scared children.,Simile
"When he reached the top of the hill, he felt as strong as a steel gate.",Simile
"When the tree branch broke, Millie fell from the limb like a robin’s egg.",Simile
She swam through the waters like she was falling through a warm dream.,Simile
They children ran like ripples through water.,Simile
Mikhail scattered his pocket change in front of the beggars like crumbs of bread.,Simile
Her hair was as soft as a spider web.,Simile
Each dollar bill was a like a magic wand to cast away problems.,Simile
The man held the blanket like a memory.,Simile
The ice sculptor’s hands fluttered like hummingbird wings.,Simile
I’m about as awesome as a flying giraffe.,Simile
You are soft as the nesting dove.,Simile
Andre charged down the football field like it was the War of 1812.,Simile
The stars looked like stupid little fish.,Simile
